feature,importance
pretender,0.0013763891275434552
varios diputado,0.001372071180052817
trabajadora,0.0013658377106583737
combatir,0.0013577202485046778
favor,0.0013377489802702408
tratar,0.001332800042500568
precariedad,0.001331032634819555
muchísimar aplausos,0.0013273367707332337
duro,0.0013104861744842827
modo,0.0013087961756864193
tremendamente,0.001281864487712884
ingreso mínimo,0.001279332713658336
garcía,0.0012707877194751405
cierto,0.0012584854472205544
acompañamiento,0.0012426655060793154
justicia social,0.0012408192331652885
gracia gracia,0.0012341882083008828
alineado,0.0012321806540770827
mandar,0.0012286545534114968
socialismo,0.001220719009819369
rato,0.0012176173484179957
central,0.0012151698371093984
ciudadanos,0.0012044334730138425
ciudadano país,0.0012033672246123481
barcelona,0.0012022057090608474
efectivo,0.0011965791866751336
legislatura,0.0011827172931223393
página,0.0011769064163329194
abordar,0.0011763105759574261
cesta,0.001165988258016192
negar,0.0011548104100827983
opinión,0.0011515206489927593
sostenible,0.0011481593508683963
treinta,0.0011295488676704966
citar,0.001126032783346813
moncloa,0.0011213318657773746
mantener,0.001116543647755712
verdad,0.0011136002198336324
proposición ley,0.001110477262555518
justo,0.0011083715619521755
utilidad,0.0010963272060507255
cambio,0.0010924207098965682
bal,0.0010866223709164295
millón empleo,0.0010776857462805977
financiero,0.001077220593809819
discurso,0.0010742290508618496
dentro,0.0010714137541130693
espacio,0.001070735051419335
reforma,0.001063357631618006
incompetencia,0.001048003437910355
distinto,0.0010378961040917716
prestación desempleo,0.001026163719743558
ignacio,0.0010247666936142963
catalán,0.0010148554513520398
incluso,0.0010101750669410032
duda alguno,0.00100454764250599
movilizar,0.0010010467587964612
antonio,0.0009971609607442027
penal,0.0009834650957254055
convertir,0.0009827754449453904
propiedad,0.0009822326052464083
decreto ley,0.0009756824982659254
intentar,0.0009706955042122998
esquerra republicana,0.0009704324068011326
número,0.0009699891829645314
cualquiera,0.0009677278796198666
precario,0.0009636680984213065
renta alto,0.000962124381157167
mejorar,0.0009580601532621334
acceso,0.0009532039834401377
debate,0.0009523668310822432
compartir,0.0009477396758305174
víctima,0.0009429344071446814
abrir,0.0009427958313400555
nadie poder,0.0009399383877072403
cumplir,0.0009356517657832096
alemania,0.0009342788142361171
inclusión,0.0009312395759116559
salario mínimo interprofesional,0.0009272689047253957
tercer,0.0009235924820900744
recomendación,0.0009132253540031493
merecer,0.000910011823070403
sociedad español,0.0009070368862207586
planteado,0.0008969227230366238
avanzar,0.0008913553728587735
grave,0.0008886700283996136
congreso formula,0.000888539407420078
proyecto,0.0008837382807024797
tarde,0.0008774873015138417
formación político,0.0008659912714287208
adicional,0.0008647854242403845
absolutamente,0.0008644403721438916
recordar,0.0008643643058630631
anterior crisis,0.0008433624862994483
justamente,0.0008317072628010034
fiscal,0.0008298251429919598
moreno,0.0008265873741466532
elevar,0.0008121391861814817
común,0.0008118645860087117
frase,0.0008098469542290375
capacidad,0.0008079958245101817
secretario,0.0008077603996750586
peor,0.0008069554556604398
gonzález,0.0008049758919553093
constituir,0.0008045719749481821
marcha,0.0008039803453279965
esperar,0.0008031626224286779
respuesta,0.0008029743263920894
cobertura,0.0007931742446206729
arruinar,0.0007899371675043798
humanidad,0.000788370121575255
resultado,0.000784054890905208
catalunya,0.0007835996325545388
competencia,0.00077753843768728
palabra,0.0007726394386830077
defensa,0.0007700182738400276
humano,0.0007660489607302207
león,0.00076450786152778
aplausos diputado don,0.0007635476763416309
congreso,0.0007630661020647967
temporal empleo,0.0007595680134970734
mínimo interprofesional,0.0007583278924129693
plantear,0.0007567924218033265
creer empleo,0.0007488052361514219
pensar,0.0007478794000900899
verdadero,0.0007474553307506634
tierra,0.0007447079326270444
jurídico,0.0007417941007974009
imponer,0.0007417571513109806
